"LSOA_name","anti_social_behaviour","bicycle_theft","burglary","criminal_damage_and_arson","drugs","other_crime","other_theft","possession_of_weapons","public_order","robbery","shoplifting","theft_from_the_person","vehicle_crime","violence_and_sexual_offences"
"Westminster 018A",1401,53,137,168,183,31,1094,17,316,161,272,704,62,994
"City of London 001F",630,216,133,142,192,103,1097,28,154,23,543,282,96,654
"Westminster 013E",879,64,235,90,100,50,1568,9,141,161,1185,950,147,633
"Westminster 018A",1401,53,137,168,183,31,1094,17,316,161,272,704,62,994
"Camden 021A",394,16,41,67,207,20,249,12,116,55,202,181,31,385
"Hillingdon 031A",1013,6,32,87,63,850,831,16,124,1,160,65,102,309
"Westminster 013E",879,64,235,90,100,50,1568,9,141,161,1185,950,147,633
"Westminster 020C",281,25,23,46,31,8,178,80,50,27,9,170,17,193
"Westminster 018A",1401,53,137,168,183,31,1094,17,316,161,272,704,62,994
"Westminster 013B",628,81,162,81,157,26,1125,13,153,183,307,762,66,615
"Westminster 013E",879,64,235,90,100,50,1568,9,141,161,1185,950,147,633
"Westminster 013E",879,64,235,90,100,50,1568,9,141,161,1185,950,147,633
"Westminster 011B",420,34,85,38,13,15,559,2,50,40,521,295,179,144
"Westminster 018D",460,28,102,70,83,14,406,6,65,53,93,99,179,261
"Westminster 018A",1401,53,137,168,183,31,1094,17,316,161,272,704,62,994
